Code,Political Party Description
PFP,#66 PA FOR PEROT
PG,PACIFIC GREEN
PH,PROHIBITION
PHA,PHILOSOPHICAL ANARCHIST
PI,PENNSYLVANIA INDEPENDENT PARTY
PIR,PIRATE
PIZ,PIZZA PARTY
PJ,THE PARTY OF JAY
PL,PRO-LIFE
PLL,Pleasant Living
PNP,Pennsylvania Nationalist Party 
PNT,PANTS PARTY
PO,POPULIST
POL,POLITICAL
POLA,POLITICAL ATHEIST
POO,PARTY OF ONE
PP,PATRIOT
PPD,PPD
PPOA,Progressive Party of America
PPP,PANSEXUAL PEACE PARTY
PPUS,PIRATE PARTY OF THE UNITED STATES
PR,PROGRESSIVE
PRE,PRESIDENT
PRI,PRIVIT
PRK,PHREAK THE 4TH
PRM,PRAGMATIST
PRO,PRO-FOR THE CULTURE
PRT,PEROT
PS,PACIFIST SOCIALIST
PSL,PSL
PSS,PIRATE STARSHIP
PUPA,PURGE PARTY
PT,PROUT
PU,PURITAN
PUE,Puerto Rico
PUR,PURPLE PARTY
PVT,Private
PZ,PRINCIPALITY OF ZION
R,REPUBLICAN
RA,RAINBOW
RAM,Rambler
RC,RATIONAL CITIZEN
RD,REFORMED
RDNA,REPUBLICAN DEMOCRATIC NO AFFILIATION
RE,REAL
REP,REPRESENTATIVE
RF,REFORM
RGN,REAGANITE
RL,RIGHT TO LIFE
RO,ROYALIST
RON,RON PAUL
ROY,ROYAL
RP,REPRESENTITIVENESS
RPDM,REPUBLICAN DEMOCRATIC
RVA,REVOLUTIONARY ANARCHIST
RW,RIGHT WING
S,SOCIALIST
SA,SOCIAL ANARCHIST
SAME,SAME
SCIW,SHARE COMMON INTERESTS WITHIN
SD,SOCIALIST DEMOCRAT
SE,Self
SST,SECESSIONIST
SEC,SECREST PARTY
SECR,SECRETO
SEQ,Socialist Equality
SFC,SIR FRED THE CAT
SH,SKYHOOK
SI,SLOTH AND INDOLENCE
SIN,SINGLE
SIS,SISTER PARTY
SL,SOCIALIST LABOR
SM,SMUCK
SOA,SOCIALIST ALTERNATIVE
SOD,SOCIAL DEMOCRAT
SP,SOCIALIST PROGRESSIVE
SPA,spaghetti
SPL,SPLIT PARTY
SPP,SILLY PARTY
SPS,SPUSA
SPU,SOCIALIST PARTY USA
SQ,S.Q.U.I.D.
SR,SQUIRREL REFORM
SSU,SOVIET SOCIALIST UNION
SUP,THE SURPRISE PARTY
SV,SPLIT VOTE
SW,SOCIALIST WORKERS
SWP,SWP
T,TAXPAYERS
TB,TRUTH BASED
TFP,THE FUN PARTY
TH ,THE HUMANITY PARTY
TGPU,THE GREEN PARTY OF THE UNITED
THP,TRANSHUMANIST PARTY
THPY,Third Party
THR,THREE PERCENTER PARTY
TNP,The New President
TO,TOGA
TP,Tea Party
TPC,Tea Party Conservative
TPP,Tea Party Patriot
TRP,TRUMP
TVP,TVP
TWSP,TAX WALL STREET PARTY
TWVP,TWELVE VISIONS PARTY
U,UNITARIAN
UAT,UNITED AMERICAN TAXPAYERS
UC,UNITED CONSTITUTION
UDC,UNDECLARED
UDCL,UNDISCLOSED
UK,UNITED KNOWLEDGE
UL,US LABOR
UA,UNITED AMERICA
UNA,UNAFFILIATED
UNC,UNCERTAIN
UND,UNDECIDED
UNDT,UNDETERMINED
UNER,UNENROLLED
UNK,UNKNOWN
UNPP,United Progressive Party
UNS,UNSURE
UP,UNITED PEOPLE'S
UPA,United Party of America
UPP,U.S. Pirate Party
US,U.S. SOCIALIST
USA,USA
USC,US CONSTITUTION
USMJ,USA MINUTEMEN
USMJ,USMJ PARTY
UT,US TAXPAYERS
UTP,Utopian
UU,U
UW,UWSA
UWS,UNITED WE STAND
V,VOTE
VFI,VOTE FOR WHO I LIKE @ THE TIME
VIG,VIGILANTE
VP,VETERAN'S PARTY OF AMERICA
WFP,WORKING FAMILIES PARTY
WH,WHIG
WHO,whoever
